id,peerId,name,ownerId,status,apr,online,jailed,createdAt,uptime90Days,bond_sqd,delegated_sqd,capped_delegated_sqd,age_days,lifetime_sqd,display_apr,last_period_apr,last_period_sqd,last_period_end,sqd_7d,staker_sqd_7d,paid_7d,zero_7d,periods_7d,covered_days_7d,positive_apr_7d,realized_apr_7d,sqd_30d,staker_sqd_30d,paid_30d,zero_30d,periods_30d,covered_days_30d,positive_apr_30d,realized_apr_30d,sqd_90d,staker_sqd_90d,paid_90d,zero_90d,periods_90d,covered_days_90d,positive_apr_90d,realized_apr_90d
1,12D3KooW9vjCKb7XXhePCz1n7R89JEiDk8uWwAi3npftuJ6yCVtg,amer-sv-lattic-subsquid-batch4-01,0x86bee9cd2be4e9ac6ab452fed9c4a6cadf9b272c,WITHDRAWN,,,,2024-05-20T22:04:01.000000Z,,0.0,0.0,0.0,857.0805439814815,0.0,,,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,
2,12D3KooWFh1qNzTj7j82oU3QBgNFWDPfgMcZGc61qyTC1527oFZv,amer-sv-lattic-subsquid-batch4-02,0x86bee9cd2be4e9ac6ab452fed9c4a6cadf9b272c,WITHDRAWN,,,,2024-05-21T18:01:43.000000Z,,0.0,0.0,0.0,856.2488078703703,0.0,,,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,
3,12D3KooWJyKZWn8zr3a5BoNFMiwySsExJx37oDnakrBsUJa2rTH7,amer-sv-lattic-subsquid-batch4-03,0x86bee9cd2be4e9ac6ab452fed9c4a6cadf9b272c,WITHDRAWN,,,,2024-05-21T18:13:22.000000Z,,0.0,0.0,0.0,856.2407175925925,0.0,,,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,
4,12D3KooWN8YRs31mGBdNmzCLzDbt6wLQQHx9GoXr34ApnaTTDrB4,amer-sv-lattic-subsquid-batch4-04,0x86bee9cd2be4e9ac6ab452fed9c4a6cadf9b272c,WITHDRAWN,,,,2024-05-21T18:19:45.000000Z,,0.0,0.0,0.0,856.2362847222222,0.0,,,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,
5,12D3KooWRSzUZhmwTyZqkamoPoCfjDMe6aTd1gEJr2ebeXtXF3np,amer-sv-lattic-subsquid-batch4-05,0x86bee9cd2be4e9ac6ab452fed9c4a6cadf9b272c,WITHDRAWN,,,,2024-05-21T18:22:12.000000Z,,0.0,0.0,0.0,856.2345833333334,0.0,,,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,
6,12D3KooWFh4FVC5jef11Hhoszhu78QDYHGyXkQWu6LvYsSVjbhYn,amer-sv-lattic-subsquid-batch5-01,0x86bee9cd2be4e9ac6ab452fed9c4a6cadf9b272c,WITHDRAWN,,,,2024-05-21T18:25:31.000000Z,,0.0,0.0,0.0,856.2322800925926,0.0,,,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,
7,12D3KooWJF1et28QYaEKojRpwwsYq7SP6uAhGWe39H82kpB3yusV,amer-sv-lattic-subsquid-batch5-02,0x86bee9cd2be4e9ac6ab452fed9c4a6cadf9b272c,WITHDRAWN,,,,2024-05-21T18:27:48.000000Z,,0.0,0.0,0.0,856.2306944444445,0.0,,,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,
8,12D3KooWM5YXQWEzXRv2W9kbaoCbmgiExdyqp7zTRqKmdbyk9fq1,amer-sv-lattic-subsquid-batch5-03,0x86bee9cd2be4e9ac6ab452fed9c4a6cadf9b272c,WITHDRAWN,,,,2024-05-21T18:29:09.000000Z,,0.0,0.0,0.0,856.2297569444445,0.0,,,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,
9,12D3KooWMCH6SLWA2qeuDSz1itFWK26xvpRMrcDcwqPMpHnZC4B6,amer-sv-lattic-subsquid-batch5-04,0x86bee9cd2be4e9ac6ab452fed9c4a6cadf9b272c,WITHDRAWN,,,,2024-05-21T18:31:39.000000Z,,0.0,0.0,0.0,856.2280208333333,0.0,,,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,
10,12D3KooWFhcfNFdi5My7LoWVCAEp9DqpJrWgwsZcuRrLp5FFjemd,amer-sv-lattic-subsquid-batch5-05,0x86bee9cd2be4e9ac6ab452fed9c4a6cadf9b272c,WITHDRAWN,,,,2024-05-21T18:32:47.000000Z,,0.0,0.0,0.0,856.2272337962963,0.0,,,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,
11,12D3KooWK5cLasgwZEsU7qN9CfxgDeFCBmdKDsGoVaEjz3KdfWjq,amer-sv-lattic-subsquid-worker-01,0x86bee9cd2be4e9ac6ab452fed9c4a6cadf9b272c,WITHDRAWN,,,,2024-05-21T18:34:25.000000Z,,0.0,0.0,0.0,856.226099537037,0.0,,,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,
12,12D3KooWDseiMs1g5kWD6g6ZtL77XT27CmgUsKpgjpfHDWJVgKnS,amer-sv-lattic-subsquid-worker-02,0x86bee9cd2be4e9ac6ab452fed9c4a6cadf9b272c,WITHDRAWN,,,,2024-05-21T22:22:45.000000Z,,0.0,0.0,0.0,856.0675347222223,0.0,,,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,
13,12D3KooWEZDFfF2KfD4Qharnr2rakmoGqmi8vwYByxkddBRZcFcZ,amer-sv-lattic-subsquid-worker-03,0x86bee9cd2be4e9ac6ab452fed9c4a6cadf9b272c,WITHDRAWN,,,,2024-05-21T22:25:56.000000Z,,0.0,0.0,0.0,856.065324074074,0.0,,,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,
14,12D3KooWPDyRAHbTKaQUyk51M1imzS9QDLRExCQBwVNsHkWVxSoh,amer-sv-lattic-subsquid-worker-04,0x86bee9cd2be4e9ac6ab452fed9c4a6cadf9b272c,WITHDRAWN,,,,2024-05-21T22:30:19.000000Z,,0.0,0.0,0.0,856.0622800925926,0.0,,,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,
15,12D3KooWAwVPrvNrEmHNqbBDHPN3ENBw59g6rYWjVdLCwzo8TZ25,amer-sv-lattic-subsquid-worker-05,0x86bee9cd2be4e9ac6ab452fed9c4a6cadf9b272c,WITHDRAWN,,,,2024-05-22T03:39:00.000000Z,,0.0,0.0,0.0,855.8479166666667,0.0,,,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,
16,12D3KooWFReY5oCTxs4vLGmWYQCPw6p5jh8z5ob7RDkjxd6W3WEc,amer-sv-lattic-subsquid-worker-batch2-01,0x86bee9cd2be4e9ac6ab452fed9c4a6cadf9b272c,WITHDRAWN,,,,2024-05-22T04:17:29.000000Z,,0.0,0.0,0.0,855.8211921296296,0.0,,,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0,0,0,0.0,,
